Restaurant ID,Restaurant Name,City,Locality,Latitude,Longitude,Aggregate rating
6317637,Le Petit Souffle,Makati City,"Century City Mall, Poblacion, Makati City",14.565443,121.027535,4.8
6304287,Izakaya Kikufuji,Makati City,"Little Tokyo, Legaspi Village, Makati City",14.553708,121.014101,4.5
6300002,Heat - Edsa Shangri-La,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City",14.581404,121.056831,4.4
6318506,Ooma,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",14.585318,121.056475,4.9
6314302,Sambo Kojin,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",14.58445,121.057508,4.8
18189371,Din Tai Fung,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",14.583764,121.056314,4.4
6300781,Buffet 101,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",14.53133333,120.9796667,4.0
6301290,Vikings,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",14.54,120.9793333,4.2
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City",14.55299,120.98009,4.9
6314987,Locavore,Pasig City,Kapitolyo,14.572041,121.056532,4.8
6309903,Silantro Fil-Mex,Pasig City,Kapitolyo,14.567689,121.057916,4.9
6309455,Mad Mark's Creamery & Good Eats,Pasig City,Kapitolyo,14.570849,121.06082,4.2
6318433,Silantro Fil-Mex,Quezon City,"UP Town Center, Diliman, Quezon City",14.649503,121.075419,4.8
6310470,Guevarra's,San Juan City,Addition Hills,14.59345,121.0335917,4.2
6314605,Sodam Korean Restaurant,San Juan City,Little Baguio,14.59889,121.03811,4.3
18185059,Cafe Arabelle,Santa Rosa,"Nuvali, Don Jose, Santa Rosa",14.237082,121.05704,3.6
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa",14.23767897,121.0565874,4.0
6318213,Balay Dako,Tagaytay City,Tagaytay City,14.101834,120.951589,4.5
18255654,Hobing Korean Dessert Cafe,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City",14.55436,121.045878,4.5
6308205,Wildflour Cafe + Bakery,Taguig City,Bonifacio Global City,14.549337,121.04622,4.4
6315438,NIU by Vikings,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",14.545858,121.053725,4.7
6310406,The Food Hall by Todd English,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",14.54565535,121.0534998,4.5
6600681,Chez Michou,Bras�_lia,Asa Norte,-15.76414167,-47.88178889,3.0
6601005,Caf�� Daniel Briand,Bras�_lia,Asa Norte,-15.7775,-47.88266667,3.8
6600292,Casa do Biscoito Mineiro,Bras�_lia,Asa Norte,-15.75747222,-47.88213611,3.7
6600441,Maori,Bras�_lia,Asa Norte,-15.75883333,-47.88816667,3.8
6600970,Pizza �� Bessa,Bras�_lia,Asa Sul,-15.83116667,-47.91566667,3.2
6600379,Sushi Loko,Bras�_lia,Asa Sul,-15.831,-47.91566667,3.1
6600214,Beirute,Bras�_lia,Asa Sul,-15.82,-47.9075,3.7
6601218,New Koto,Bras�_lia,Asa Sul,-15.82733333,-47.91016667,3.7
6600060,Sandubas Caf��,Bras�_lia,Asa Sul,-15.797,-47.89016667,0.0
6600083,Villa Tevere,Bras�_lia,Asa Sul,-15.83133333,-47.92366667,4.1
6601515,Rovereto,Bras�_lia,�guas Claras,-15.83716667,-48.019,3.1
6601361,Buena Carne,Bras�_lia,�guas Claras,-15.839775,-48.01909167,3.6
6601602,Taco Pep,Bras�_lia,�guas Claras,-15.83483333,-48.01666667,4.3
6601589,Coco Bambu,Bras�_lia,"Bras�_lia Shopping, Asa Norte",-15.7865,-47.889,4.2
6601862,Tayp��,Bras�_lia,Lago Sul,-15.860621,-47.872359,3.6
6601595,Outback Steakhouse,Bras�_lia,"ParkShopping, Guar�� I",-15.83451389,-47.95628333,4.0
6601158,Manzu��,Bras�_lia,"Pont��o Lago Sul, Lago Sul",-15.82566667,-47.87283333,3.2
6600427,Coco Bambu,Bras�_lia,Setor De Clubes Esportivos Sul,-15.819,-47.8685,4.9
6600116,Gero,Bras�_lia,"Shopping Iguatemi, Lago Norte",-15.720118,-47.885812,3.3
6601457,Brazilian American Burgers,Bras�_lia,Sudoeste,-15.79753056,-47.92102778,3.6
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,Barra da Tijuca,-23.0115,-43.377,4.0
7304307,Confeitaria Colombo,Rio de Janeiro,Centro,-22.905293,-43.178826,4.8
7301215,Bibi,Rio de Janeiro,Copacabana,-22.97207222,-43.18669167,4.7
7300596,Cervantes,Rio de Janeiro,Copacabana,-22.96216667,-43.17583333,4.5
7300612,Amir,Rio de Janeiro,Copacabana,-22.96516667,-43.176,4.2
7300704,TT Burger,Rio de Janeiro,"Galeria River, Copacabana",-22.98683333,-43.191,4.8
7300955,Braseiro da G��vea,Rio de Janeiro,G��vea,-22.973507,-43.227042,4.9
7300521,Balada Mix,Rio de Janeiro,Ipanema,-22.98520833,-43.211425,4.6
7300515,Garota de Ipanema,Rio de Janeiro,Ipanema,-22.98533333,-43.203,4.9
7300483,Zaz�� Bistr�� Tropical,Rio de Janeiro,Ipanema,-22.98531944,-43.20520833,4.6
7301064,Fil�� de Ouro,Rio de Janeiro,Lagoa,-22.966647,-43.219563,4.3
7304312,D.O.C Ristorante,Rio de Janeiro,"Le Monde, Barra da Tijuca",-22.99991111,-43.34879167,4.0
7300004,Sushi Leblon,Rio de Janeiro,Leblon,-22.98416667,-43.227,4.6
7300868,Talho Capixaba,Rio de Janeiro,Leblon,-22.98516667,-43.22566667,4.4
7302637,Leme Light,Rio de Janeiro,Leme,-22.963925,-43.17279167,4.2
7302140,Shirley,Rio de Janeiro,Leme,-22.96337222,-43.17126389,4.2
7305048,Quiosque Chopp Brahma,Rio de Janeiro,Madureira,-22.870413,-43.341164,0.0
7302898,Apraz�_vel,Rio de Janeiro,Santa Teresa,-22.92481389,-43.18736944,4.7
7302859,Aconchego Carioca,Rio de Janeiro,Tijuca,-22.91370833,-43.21551111,4.6
7301700,Garota de Ipanema,Rio de Janeiro,Urca,-22.94783333,-43.16266667,4.3
6706313,Cantina Famiglia Mancini,S��o Paulo,"Bela Vista, Centro",-23.55066667,-46.64516667,4.5
6704326,Templo da Carne - Marcos Bassi,S��o Paulo,"Bela Vista, Centro",-23.559,-46.64633333,4.4
6711179,Gopala Hari,S��o Paulo,Consola�_��o,-23.55616667,-46.65866667,3.1
6702797,Jiquitaia,S��o Paulo,Consola�_��o,-23.55671,-46.657523,4.1
6700475,Skye - Hotel Unique,S��o Paulo,"Hotel Unique, Jardim Paulista",-23.581688,-46.666851,4.8
6713413,Les 3 Brasseurs,S��o Paulo,Itaim Bibi,-23.582135,-46.67511,4.6
6714340,Red Steak & Burger,S��o Paulo,Itaim Bibi,-23.585324,-46.683888,3.9
6710645,Cantinho da Gula,S��o Paulo,Itaim Bibi,-23.581,-46.67566667,0.0
6700402,Paris 6 Classique,S��o Paulo,Jardim Paulista,-23.561568,-46.666041,3.4
6700846,Kawa Sushi,S��o Paulo,Jardim Paulista,-23.571638,-46.657418,3.5
6702159,A Figueira Rubaiyat,S��o Paulo,Jardim Paulista,-23.5655,-46.66983333,4.3
6711666,Kinoshita,S��o Paulo,Moema,-23.59233333,-46.67133333,3.9
6701257,Meats,S��o Paulo,Pinheiros,-23.56483333,-46.68133333,4.3
6706211,Paribar,S��o Paulo,Rep�_blica,-23.54664167,-46.64159444,4.3
6705858,Terra�_o It��lia,S��o Paulo,Rep�_blica,-23.545163,-46.643425,4.4
6701419,Divino Fog��o,S��o Paulo,"Shopping Metr�� Santa Cruz, Vila Mariana",-23.5995,-46.63716667,0.0
6703956,Super Grill,S��o Paulo,"Shopping Morumbi, Santo Amaro",-23.622925,-46.698574,0.0
6709580,Esquina Mocot�_,S��o Paulo,Vila Maria,-23.486535,-46.581672,4.4
6703176,Veloso,S��o Paulo,Vila Mariana,-23.58516667,-46.63566667,4.6
6713772,Sainte Marie Gastronomia,S��o Paulo,Vila S��nia,-23.609207,-46.746958,4.1
17284404,Austin's BBQ and Oyster Bar,Albany,Albany,31.610387,-84.221535,3.3
17284203,BJ's Country Buffet,Albany,Albany,31.608743,-84.207095,3.3
17284105,Cookie Shoppe,Albany,Albany,31.5772,-84.154,3.4
17284302,El Vaquero Mexican Restaurant,Albany,Albany,31.6158,-84.2194,3.4
17284397,Elements Coffee Co - Northwest,Albany,Albany,31.622412,-84.206944,3.4
17284211,Pearly's Famous Country Cookng,Albany,Albany,31.5882,-84.1759,3.4
17284094,Chick-fil-A,Albany,Albany,31.616,-84.2193,3.5
17284409,Guang Zhou Chinese Restaurant,Albany,Albany,31.6155186,-84.2091458,3.9
17284139,Harvest Moon,Albany,Albany,31.604905,-84.205718,3.7
17284403,Henry Campbell's Steakhouse,Albany,Albany,31.612121,-84.223278,3.5
17284145,Hong Kong Cafe,Albany,Albany,31.6156,-84.2191,3.6
17284150,House of China Restaurant II,Albany,Albany,31.6104,-84.212,3.8
17284158,Jimmie's Hot Dogs,Albany,Albany,31.5751,-84.1534,3.9
17284175,Locos Grill & Pub,Albany,Albany,31.6077,-84.2228,3.5
17284179,Longhorn Steakhouse,Albany,Albany,31.6185,-84.2229,3.5
17284197,Mikata Japanese Steakhouse,Albany,Albany,31.6137,-84.2164,3.6
17284241,Shogun Japanese Steak House,Albany,Albany,31.6118,-84.2233,3.5
17284390,The Catch Seafood Room & Oyster Bar,Albany,Albany,31.605882,-84.205025,3.8
17284279,Villa Gargano,Albany,Albany,31.5985,-84.1757,3.7
17284364,3 Squares Diner,Albany,Sylvester,31.5308,-83.8389,3.4
16611114,Whitebull Hotel,Armidale,Armidale,-30.5147169,151.6688792,3.5
17293281,Last Resort Grill,Athens,Athens,33.957999,-83.378273,4.5
17293301,Mama's Boy Restaurant,Athens,Athens,33.9535,-83.3654,4.5
17293409,Sr. Sol 1,Athens,Athens,33.9652,-83.4293,4.6
17293163,Choo Choo Eastside,Athens,Athens,33.9259,-83.3389,3.9
17293228,The Grill,Athens,Athens,33.958198,-83.375523,3.7
17293880,Big City Bread Cafe,Athens,Athens,33.959392,-83.384004,4.3
17293169,Clocked,Athens,Athens,33.9584,-83.3797,4.2
17293186,DePalma's Italian Cafe - Downtown,Athens,Athens,33.958112,-83.373596,4.0
17293180,DePalma's Italian Cafe - East Side,Athens,Athens,33.924275,-83.33995,4.1
17293205,Five & Ten,Athens,Athens,33.9415545,-83.3872482,4.3
17293229,Grit,Athens,Athens,33.960112,-83.381625,4.2
17293897,Ike & Jane,Athens,Athens,33.963296,-83.400887,4.1
17293273,La Dolce Vita Ristorante,Athens,Athens,33.9584,-83.4075,4.1
17293870,Shokitini,Athens,Athens,33.957503,-83.379251,4.2
17293877,Taqueria Del Sol,Athens,Athens,33.960571,-83.383605,4.1
17293890,The National,Athens,Athens,33.959468,-83.37967,4.1
17293915,The Royal Peasant,Athens,Athens,33.937502,-83.38728,4.4
17293422,Transmetropolitan,Athens,Athens,33.9584,-83.3764,4.4
17293873,Trappeze Pub,Athens,Athens,33.958363,-83.378881,4.2
17294014,Viva! Argentine Cuisine,Athens,Athens,33.9600227,-83.3828224,4.1
17294556,Miyabi Kyoto Japanese Steak House,Augusta,Augusta,33.4721,-82.0865,4.6
17294607,Rae's Coastal Cafe,Augusta,Augusta,33.4791,-82.0698,4.9
17294279,The Bee's Knees,Augusta,Augusta,33.4765,-81.97,4.5
17294300,Boll Weevil Cafe,Augusta,Augusta,33.474,-81.9684,3.9
17295215,Farmhaus Burger,Augusta,Augusta,33.477444,-81.973006,3.9
17295028,Manuel's Bread Cafe,Augusta,Augusta,33.481779,-81.965571,3.8
17294642,Sconyers Bar B Que,Augusta,Augusta,33.4086,-82.0327,3.5
17295109,Frog Hollow Tavern,Augusta,Augusta,33.478231,-81.974944,4.3
17294441,Giuseppe's Pizza & Italian Specialities,Augusta,Augusta,33.4827,-82.096,4.1
17294552,Mellow Mushroom,Augusta,Augusta,33.4778,-81.9721,4.4
17294565,Nacho Mamas Burritos,Augusta,Augusta,33.4764,-81.9694,4.0
17294623,Rhinehart's Oyster Bar,Augusta,Augusta,33.5133,-82.0505,4.0
17294712,Takosushi,Augusta,Augusta,33.4848,-82.0301,4.2
17295033,The Chop House,Augusta,Augusta,33.467201,-82.080788,4.0
17295069,The Taj of India,Augusta,Augusta,33.5375868,-82.0805493,4.0
17294261,Augsburg Haus,Augusta,Evans,33.544342,-82.143793,3.9
17295115,Pho Bac,Augusta,Evans,33.532249,-82.126161,4.1
17294836,Rhinehart's Oyster Bar,Augusta,Evans,33.521291,-82.141284,4.0
17294850,Thai Kitchen,Augusta,Evans,33.5406,-82.1328,4.3
17294883,El Kiosco Mexican Restaurant,Augusta,Grovetown,33.4574,-82.1997,4.2
16608864,Taste of Balingup,Balingup,Balingup,-33.7845269,115.9844924,3.2
16604911,Bridge Road Brewers,Beechworth,Beechworth,-36.360439,146.685852,4.6
17303465,Bardenay,Boise,Boise,43.6138,-116.2019,4.5
